id,name,kind,row,col,utm_e,utm_n,lat,lon
1,outlet,gauge,172,148,563250.0,2872650.0,25.971226,87.631847
1,outlet,gauge+site,172,148,563250.0,2872650.0,25.971226,87.631847
2,confluence_1,gauge,170,147,562950.0,2873250.0,25.976656,87.628879
2,confluence_1,gauge+site,170,147,562950.0,2873250.0,25.976656,87.628879
3,confluence_2,gauge,169,146,562650.0,2873550.0,25.979378,87.625897
3,confluence_2,gauge+site,169,146,562650.0,2873550.0,25.979378,87.625897
4,confluence_3,gauge,168,145,562350.0,2873850.0,25.9821,87.622914
4,confluence_3,gauge+site,168,145,562350.0,2873850.0,25.9821,87.622914
5,confluence_4,gauge,167,143,561750.0,2874150.0,25.984834,87.616934
5,confluence_4,gauge+site,167,143,561750.0,2874150.0,25.984834,87.616934
6,confluence_5,gauge,162,143,561750.0,2875650.0,25.998378,87.617005
6,confluence_5,gauge+site,162,143,561750.0,2875650.0,25.998378,87.617005
7,confluence_6,gauge,161,144,562050.0,2875950.0,26.001074,87.620017
7,confluence_6,gauge+site,161,144,562050.0,2875950.0,26.001074,87.620017
8,confluence_7,gauge,159,142,561450.0,2876550.0,26.006518,87.61405
8,confluence_7,gauge+site,159,142,561450.0,2876550.0,26.006518,87.61405
9,confluence_8,gauge,157,141,561150.0,2877150.0,26.011948,87.61108
9,confluence_8,gauge+site,157,141,561150.0,2877150.0,26.011948,87.61108
10,confluence_9,gauge,156,140,560850.0,2877450.0,26.014669,87.608096
10,confluence_9,gauge+site,156,140,560850.0,2877450.0,26.014669,87.608096
11,confluence_10,gauge,155,139,560550.0,2877750.0,26.017391,87.605112
11,confluence_10,gauge+site,155,139,560550.0,2877750.0,26.017391,87.605112
12,confluence_11,gauge,153,138,560250.0,2878350.0,26.022821,87.602142
12,confluence_11,gauge+site,153,138,560250.0,2878350.0,26.022821,87.602142
13,confluence_12,gauge,151,137,559950.0,2878950.0,26.028251,87.599171
13,confluence_12,gauge+site,151,137,559950.0,2878950.0,26.028251,87.599171
14,confluence_13,gauge,150,137,559950.0,2879250.0,26.03096,87.599185
14,confluence_13,gauge+site,150,137,559950.0,2879250.0,26.03096,87.599185
15,confluence_14,gauge,146,137,559950.0,2880450.0,26.041795,87.59924
15,confluence_14,gauge+site,146,137,559950.0,2880450.0,26.041795,87.59924
16,confluence_15,gauge,145,136,559650.0,2880750.0,26.044516,87.596255
16,confluence_15,gauge+site,145,136,559650.0,2880750.0,26.044516,87.596255
17,confluence_16,gauge,144,136,559650.0,2881050.0,26.047225,87.596269
17,confluence_16,gauge+site,144,136,559650.0,2881050.0,26.047225,87.596269
18,confluence_17,gauge,144,135,559350.0,2881050.0,26.047237,87.59327
18,confluence_17,gauge+site,144,135,559350.0,2881050.0,26.047237,87.59327
19,confluence_18,gauge,143,133,558750.0,2881350.0,26.04997,87.587286
19,confluence_18,gauge+site,143,133,558750.0,2881350.0,26.04997,87.587286
20,confluence_19,gauge,142,132,558450.0,2881650.0,26.052691,87.584301
20,confluence_19,gauge+site,142,132,558450.0,2881650.0,26.052691,87.584301
21,confluence_20,gauge,142,131,558150.0,2881650.0,26.052704,87.581302
21,confluence_20,gauge+site,142,131,558150.0,2881650.0,26.052704,87.581302
22,confluence_21,gauge,172,165,568350.0,2872650.0,25.970994,87.682792
22,confluence_21,gauge+site,172,165,568350.0,2872650.0,25.970994,87.682792
23,confluence_22,gauge,169,165,568350.0,2873550.0,25.979121,87.682839
23,confluence_22,gauge+site,169,165,568350.0,2873550.0,25.979121,87.682839
24,confluence_23,gauge,164,163,567750.0,2875050.0,25.992693,87.676923
24,confluence_23,gauge+site,164,163,567750.0,2875050.0,25.992693,87.676923
25,confluence_24,gauge,163,162,567450.0,2875350.0,25.995415,87.673941
25,confluence_24,gauge+site,163,162,567450.0,2875350.0,25.995415,87.673941
26,confluence_25,gauge,162,162,567450.0,2875650.0,25.998124,87.673956
26,confluence_25,gauge+site,162,162,567450.0,2875650.0,25.998124,87.673956
27,confluence_26,gauge,157,159,566550.0,2877150.0,26.01171,87.66504
27,confluence_26,gauge+site,157,159,566550.0,2877150.0,26.01171,87.66504
28,confluence_27,gauge,155,158,566250.0,2877750.0,26.017141,87.662073
28,confluence_27,gauge+site,155,158,566250.0,2877750.0,26.017141,87.662073
29,confluence_28,gauge,154,157,565950.0,2878050.0,26.019863,87.65909
29,confluence_28,gauge+site,154,157,565950.0,2878050.0,26.019863,87.65909
30,confluence_29,gauge,153,154,565050.0,2878350.0,26.022613,87.650111
30,confluence_29,gauge+site,153,154,565050.0,2878350.0,26.022613,87.650111
31,confluence_30,gauge,149,153,564750.0,2879550.0,26.033462,87.647172
31,confluence_30,gauge+site,149,153,564750.0,2879550.0,26.033462,87.647172
32,confluence_31,gauge,146,152,564450.0,2880450.0,26.041601,87.644218
32,confluence_31,gauge+site,146,152,564450.0,2880450.0,26.041601,87.644218
33,confluence_32,gauge,145,150,563850.0,2880750.0,26.044337,87.638236
33,confluence_32,gauge+site,145,150,563850.0,2880750.0,26.044337,87.638236
34,confluence_33,gauge,144,149,563550.0,2881050.0,26.047059,87.635252
34,confluence_33,gauge+site,144,149,563550.0,2881050.0,26.047059,87.635252
35,confluence_34,gauge,141,129,557550.0,2881950.0,26.055436,87.575318
35,confluence_34,gauge+site,141,129,557550.0,2881950.0,26.055436,87.575318
36,confluence_35,gauge,137,150,563850.0,2883150.0,26.066007,87.638353
36,confluence_35,gauge+site,137,150,563850.0,2883150.0,26.066007,87.638353
37,confluence_36,gauge,140,127,556950.0,2882250.0,26.058169,87.569333
37,confluence_36,gauge+site,140,127,556950.0,2882250.0,26.058169,87.569333
38,confluence_37,gauge,139,127,556950.0,2882550.0,26.060878,87.569346
38,confluence_37,gauge+site,139,127,556950.0,2882550.0,26.060878,87.569346
39,confluence_38,gauge,138,125,556350.0,2882850.0,26.06361,87.563361
39,confluence_38,gauge+site,138,125,556350.0,2882850.0,26.06361,87.563361
40,confluence_39,gauge,136,150,563850.0,2883450.0,26.068716,87.638368
40,confluence_39,gauge+site,136,150,563850.0,2883450.0,26.068716,87.638368
41,confluence_40,gauge,137,122,555450.0,2883150.0,26.066354,87.554376
41,confluence_40,gauge+site,137,122,555450.0,2883150.0,26.066354,87.554376
42,confluence_41,gauge,142,118,554250.0,2881650.0,26.052855,87.542317
42,confluence_41,gauge+site,142,118,554250.0,2881650.0,26.052855,87.542317
43,confluence_42,gauge,141,114,553050.0,2881950.0,26.055609,87.530334
43,confluence_42,gauge+site,141,114,553050.0,2881950.0,26.055609,87.530334
44,confluence_43,gauge,140,113,552750.0,2882250.0,26.058328,87.527347
44,confluence_43,gauge+site,140,113,552750.0,2882250.0,26.058328,87.527347
45,confluence_44,gauge,140,111,552150.0,2882250.0,26.05835,87.521349
45,confluence_44,gauge+site,140,111,552150.0,2882250.0,26.05835,87.521349
46,confluence_45,gauge,139,110,551850.0,2882550.0,26.06107,87.518362
46,confluence_45,gauge+site,139,110,551850.0,2882550.0,26.06107,87.518362
47,confluence_46,gauge,138,109,551550.0,2882850.0,26.063789,87.515374
47,confluence_46,gauge+site,138,109,551550.0,2882850.0,26.063789,87.515374
48,confluence_47,gauge,134,109,551550.0,2884050.0,26.074625,87.515422
48,confluence_47,gauge+site,134,109,551550.0,2884050.0,26.074625,87.515422
49,confluence_48,gauge,131,109,551550.0,2884950.0,26.082751,87.515457
49,confluence_48,gauge+site,131,109,551550.0,2884950.0,26.082751,87.515457
50,confluence_49,gauge,129,110,551850.0,2885550.0,26.088158,87.518481
50,confluence_49,gauge+site,129,110,551850.0,2885550.0,26.088158,87.518481
51,confluence_50,gauge,126,111,552150.0,2886450.0,26.096274,87.521517
51,confluence_50,gauge+site,126,111,552150.0,2886450.0,26.096274,87.521517
52,confluence_51,gauge,117,109,551550.0,2889150.0,26.120674,87.515624
52,confluence_51,gauge+site,117,109,551550.0,2889150.0,26.120674,87.515624
53,confluence_52,gauge,116,108,551250.0,2889450.0,26.123394,87.512635
53,confluence_52,gauge+site,116,108,551250.0,2889450.0,26.123394,87.512635
54,confluence_53,gauge,115,107,550950.0,2889750.0,26.126113,87.509646
54,confluence_53,gauge+site,115,107,550950.0,2889750.0,26.126113,87.509646
55,confluence_54,gauge,115,102,549450.0,2889750.0,26.126166,87.494642
55,confluence_54,gauge+site,115,102,549450.0,2889750.0,26.126166,87.494642
56,confluence_55,gauge,114,99,548550.0,2890050.0,26.128905,87.485651
