ghsa_stn,site_name,river,state,ghsa_lat,ghsa_lon,ghsa_area,ghsa_group
IN-kris_vijay,Vijayawada,Krishna,Andhra Pradesh,16.49796,80.61874,256861.2,G1
IN-kris_praka,Prakasam  Barrage,Krishna,Andhra Pradesh,16.50624,80.60624,256854.1,G1
IN-kris_waden,Wadenapally,Krishna,Telangana,16.79375,80.06876,239683.2,G1
IN-kris_nagar,Nagarjuna Sagar Dam,Krishna,Andhra Pradesh,16.57293,79.31039,219467.2,G1
IN-kris_srisa,Srisailam,Krishna,Andhra Pradesh,16.08546,78.89373,210214.3,G1
IN-kris_kagra,K. Agraharam,Krishna,Telangana,16.26042,77.83958,129300.2,G1
IN-kris_pdjur,P.D. Jurala,Krishna,Andhra Pradesh,16.33545,77.70624,128901.7,G1
IN-kris_deosu,Deosugur,Krishna,Karnataka,16.38544,77.35623,126017.1,G1
IN-kris_yadgi,Yadgir,Krishna/Bhima,Karnataka,16.73957,77.12289,69605.1,G1
IN-kris_bawap,Bawapuram,Krishna/Tungabhadra,Andhra Pradesh,15.88544,77.95623,66721.5,G1
IN-kris_mantr,Mantralayam,Krishna/Tungabhadra,Andhra Pradesh,15.94791,77.42699,64541.2,G1
IN-kris_melag,Melaganur,Tungabhadra,Andhra Pradesh,15.84773,77.03128,59763.6,G4
IN-kris_huvin,Huvinhedigi,Krishna,Karnataka,16.48958,76.92286,54003.2,G1
IN-kris_deong,Deongaon Bridge,Krishna/Bhima,Karnataka,17.16875,76.32706,52525.4,G1
IN-kris_naray,Narayanpur Dam,Krishna,Karnataka,16.2271,76.35208,47474.4,G3
IN-kris_almat,Almatti dam,Krishna,Karnataka,16.33125,75.88541,33566.1,G1
IN-kris_takli,Takli,Krishna/Bhima,Maharashtra,17.41459,75.8479,33422.1,G1
IN-kris_oolle,Oollenur,Krishna/Tungabhadra,Karnataka,15.48958,76.71869,32838.6,G1
IN-kris_tungb,Tungbhadra Dam,Krishna/Tungabhadra,Karnataka,15.26458,76.33126,28843.4,G1
IN-kris_trama,T. Ramapuram (Seasonal),Krishna/Tungabhadra/Hagari,Karnataka,15.66043,76.96458,23417.3,G1
IN-kris_narsi,Narsingpur,Krishna/Bhima,Maharashtra,17.97291,75.13955,22246.3,G1
IN-kris_kurun,Kurundwad,Krishna,Maharashtra,16.68544,74.60208,15193.2,G1
IN-kris_haral,Haralahalli,Krishna/Tungabhadra,Karnataka,14.83124,75.67292,14576.6,G1
IN-kris_airan,Airani,Krishna/Tungabhadra,Karnataka,14.60621,75.80626,12935.9,G3
IN-kris_arjun,Arjunwad (Seasonal),Krishna,Maharashtra,16.78543,74.63123,12219.6,G1
IN-kris_wadak,Wadakbal,Krishna/Bhima/Sina,Maharashtra,17.53541,75.88541,12023.3,G1
IN-kris_daund,Daund,Krishna/Bhima,Maharashtra,18.47712,74.57703,11383.0,G1
IN-kris_damer,Dameracherla,Krishna/Musi,Telangana,16.73946,79.66875,11236.7,G1
IN-kris_keesa,Keesara,Krishna/Munneru,Andhra Pradesh,16.71458,80.31875,10473.8,G1
IN-kris_chola,Cholachugudda,Krishna/Malaprabha,Karnataka,15.87294,75.72293,9867.8,G1
IN-kris_malkh,Malkhed,Krishna/Bhima/,Karnataka,17.20208,77.15625,8315.8,G1
IN-kris_honna,Honnali,Krishna/Tungabhadra,Karnataka,14.2396,75.6604,7401.0,G1
IN-kris_sarat,Sarati,Krishna/Bhima/Nira,Maharashtra,17.91041,75.01042,6757.2,G1
IN-kris_mudho,Mudhol,Krishna/Ghatprabha,Karnataka,16.32289,75.28123,6726.1,G1
IN-kris_polam,Polampalli,Krishna/Munneru,Andhra Pradesh,17.01463,80.16873,6291.1,G1
IN-kris_parag,Paragon,Bhima,Maharashtra,18.56876,74.37292,6131.3,G1
IN-kris_valig,Valigonda,Musi,Telangana,17.36458,79.03124,5788.9,G3
IN-kris_karad,Karad,Krishna,Maharashtra,17.29375,74.18959,5394.7,G1
IN-kris_marol,Marol,Krishna Tungabhadra/Varada,Karnataka,14.93957,75.61875,5143.8,G1
IN-kris_kello,Kellodu,Krishna Tungabhadra/Vedavathi,Karnataka,13.75209,76.31876,4260.9,G1
IN-kris_holeh,Holehonnur,Krishna/Tungabhadra/Tunga,Karnataka,13.97709,75.68541,3402.7,G4
IN-kris_hoovi,Hoovinahole,Krishna/Tungabhadra/Swarnamukhi,Karnataka,13.9761,75.6853,3402.7,G3
IN-kris_doddi,Doddipadu,Hundri,Andhra Pradesh,15.7396,77.99793,3273.8,G1
IN-kris_halia,Halia,Krishna/Halia,Telangana,16.78956,79.33959,3255.4,G1
IN-kris_dader,Daderu,Munneru,Telangana,17.37296,80.16454,3208.8,G1
IN-kris_naval,Navalagund,Krishna/Malaprabha/ Bennihalla,Karnataka,15.56878,75.36461,3045.1,G1
