ghsa_stn|riv_basin|country|agency|state|agency_id|site_name|district|site_type1|agency_area|river|site_type2|agency_lat|agency_lon|basinShort|basinCode|hydrosh_pf|ghsa_locchk|ghsa_rivchk|ghsa_lmark|ghsa_lmark_lat|ghsa_lmark_lon|ghsa_lmark_dist|ghsa_reloc|ghsa_lat|ghsa_lon|ghsa_area|hydro_area|merit_lat|merit_lon|merit_area|disc_agency|disc_merit|ghsa_netchk|merit_netchk|qc1|qc2|qc3|qc4|qc5|qc6|ghsa_group
CN-brah_bayix|Brahmaputra|CN|GSIM||CN_0000055|BA YI XIN CUN|||226|BA YI HE||29.65|94.3|brah|x2B|PF12-4120780690|||no landmark found||||5.6462|29.67296|94.35212|16902.8|16918.9|29.65|94.3|0|7379.1|-1000000|||1|1|1|0|0|1|G4
IN-brah_doyan|Brahmaputra|IN|CWC|Nagaland||Doyang|Wokha|HO|2606|Brahmaputra/Doyang|G|||brah|x2B||||||||||||||||-1000000|-1000000|||1|1|1|0|1|1|G4
IN-brah_champ|Brahmaputra|IN|CWC|West Bengal|CW1BHG000386|Champasari|Darjeeling|HO|250|Ganga/Mahananda|GDSQ|26.7392|88.4228|brah|x2B|PF12-4121480450|uncertain location; station in Ganga Basin||GM, Champasari town nearby|26.7475|88.4167|1.1|0.0436|26.73958|88.42291|194.8|163.8|26.73834|88.42249|162.1|-22.1|20.2|||1|1|1|0|1|1|G4
IN-brah_matig|Brahmaputra|IN|CWC|West Bengal|CW1BHG000387|Matigara|Darjeeling|HO|260|Ganga/Mahananda/Balason|GDSQ|26.7203|88.3769|brah|x2B|PF12-4120871330|uncertain location; station in Ganga Basin||GM, Matigara town nearby|26.72221|88.38017|0.39|0.1731|26.71875|88.37706|93.8|93.7|26.72002|88.37664|353|-63.9|-73.4|||1|1|1|0|1|1|G4
IN-brah_sona2|Brahmaputra|IN|CWC|West Bengal|CW1BHG000389|Sonapurhat|North Dinajpur|HO|750|Ganga/Mahananda|GDSQ|26.4569|88.2433|brah|x2B|PF12-4120879110|uncertain location; station in Ganga Basin||GM, Sonapur Hat town south|26.43772|88.25767|2.57|0.6032|26.46042|88.24791|1041.9|1041.8|26.45666|88.24333|951.3|38.9|9.5|||1|1|1|0|1|1|G4
BT-brah_bemet|Brahmaputra|BT|NCHM||15600045|Bemethang on Chamkharchhu|Zhemgang||2718|Chamkharchhu||27.2806|90.9375|brah|x2B|PF12-4121473380|||GM, Bemethang AWLS nearby|27.28007|90.93094|0.65|0.6207|27.28115|90.93125|2709.4|2711.2|27.28167|90.93167|2713.7|-0.3|-0.2|||1|1|1|1|1|1|G1
BT-brah_bjiza|Brahmaputra|BT|NCHM||14580045|Bjizam on Mangdichhu +AWLS|Trongsa||1390|Mangdichhu||27.5244|90.4547|brah|x2B|PF12-4120847190|||GM, Bjee Zam bridge nearby|27.52049|90.4598|0.66|0.3355|27.52709|90.45624|1403.9|1401.8|27.52417|90.455|1387.4|1|1.2|||1|1|1|1|1|1|G1
BT-brah_damch|Brahmaputra|BT|NCHM||12490045|Damchhu on Wangchhu|Chhukha||2529|Wangchhu||27.2406|89.5272|brah|x2B|PF12-4120855510|||GM, Damchu hotel north|27.2509|89.52545|1.16|0.4381|27.23958|89.52292|2529.8|2530.5|27.24|89.5225|2520.6|0|0.4|||1|1|1|1|1|1|G1
BT-brah_doyag|Brahmaputra|BT|NCHM||11210045|Doyagang on Ammochhu|Chhukha||3710|Ammochhu||26.8867|89.35|brah|x2B|PF12-4121479180|||no landmark found||||0.6391|26.88126|89.35208|3740.5|3744.3|26.88083|89.35164|3740.8|0.8|0|||1|1|1|1|1|1|G1
BT-brah_kerab|Brahmaputra|BT|NCHM||13140045|Kerabari on Sankosh|Dagana||9627|Sankosh||26.7683|89.9281|brah|x2B|PF12-4121480090|||no landmark found||||0.113|26.76875|89.92708|9635.7|9640.8|26.76833|89.9275|9594.6|0.1|0.4|||1|1|1|1|1|1|G1
BT-brah_kuriz|Brahmaputra|BT|NCHM||16200045|Kurizampa on Kurichhu|Mongar||8998|Kurichhu||27.2739|91.1936|brah|x2B|PF12-4120853080|||GM, Kurizampa church nearby|27.27354|91.1941|0.06|0.11|27.27292|91.19375|9064.2|9076.4|27.27417|91.19334|9003.8|0.7|0.7|||1|1|1|1|1|1|G1
BT-brah_kurje|Brahmaputra|BT|NCHM||15490045|Kurjey on Chamkharchhu +AWLS|Bumthang||1355|Chamkharchhu||27.5869|90.7369|brah|x2B|PF12-4120844680|||GM, Kurjey town west|27.58828|90.72864|0.83|0.2193|27.58542|90.73543|1394.9|1391.9|27.58506|90.73416|1360.6|2.9|2.5|||1|1|1|1|1|1|G1
BT-brah_lungt|Brahmaputra|BT|NCHM||12800045|Lungtenphug on Wangchhu|Thimphu||666|Wangchhu||27.4467|89.6611|brah|x2B|PF12-4120846750|||GM, Lungtenphug helipad north|27.45147|89.65583|0.74|0.5062|27.44799|89.65618|642.9|643.8|27.44667|89.65915|661.2|-3.5|-2.8|||1|1|1|1|1|1|G1
BT-brah_mukti|Brahmaputra|BT|NCHM||17670045|Muktirap on Kholong Chhu + AWLS|Trashi Yangtse||876|Kholong Chhu||27.5878|91.4944|brah|x2B|PF12-4121468760|||no landmark found||||0.1999|27.5895|91.49374|888.1|882.7|27.5875|91.49249|880.8|1.4|0.8|||1|1|1|1|1|1|G1
